
- cudatoolkit=8.0=3
ch', 0)
100%|█████████████████████████████████████████| 142/142 [01:13<00:00,  1.93it/s]
('avg_training_loss', 0.004595101655224784)
('max_training_acc', 0.8186619718309859)
('avg_training_acc', 0.5651408450704228)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.22it/s]
('avg_loss', 0.017338449445863564)
('max_acc', 0.8166666666666665)
('avg_acc', 0.39166666666666666)
('epoch', 67)
100%|█████████████████████████████████████████| 142/142 [01:12<00:00,  1.95it/s]
('avg_training_loss', 0.004591315241963406)
('max_training_acc', 0.8186619718309855)
('avg_training_acc', 0.5683098591549296)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.06it/s]
('avg_loss', 0.017542333574965596)
('max_acc', 0.8166666666666665)
('avg_acc', 0.4041666666666666)
('epoch', 68)
100%|█████████████████████████████████████████| 142/142 [01:18<00:00,  1.82it/s]
('avg_training_loss', 0.00455062216456035)
('max_training_acc', 0.819014084507042)
('avg_training_acc', 0.5707746478873239)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.16it/s]
('avg_loss', 0.017797561284775536)
('max_acc', 0.8166666666666665)
('avg_acc', 0.3833333333333333)
('epoch', 69)
100%|█████████████████████████████████████████| 142/142 [01:15<00:00,  1.89it/s]
('avg_training_loss', 0.004482663221801565)
('max_training_acc', 0.8186619718309859)
('avg_training_acc', 0.576056338028169)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.26it/s]
('avg_loss', 0.01688580451688419)
('max_acc', 0.8166666666666665)
('avg_acc', 0.4124999999999999)
('epoch', 70)
100%|█████████████████████████████████████████| 142/142 [01:13<00:00,  1.92it/s]
('avg_training_loss', 0.004652869593332404)
('max_training_acc', 0.8190140845070424)
('avg_training_acc', 0.583098591549296)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.21it/s]
('avg_loss', 0.0167168154536436)
('max_acc', 0.8166666666666665)
('avg_acc', 0.40833333333333327)
('epoch', 71)
100%|█████████████████████████████████████████| 142/142 [01:14<00:00,  1.91it/s]
('avg_training_loss', 0.004886071838792676)
('max_training_acc', 0.8183098591549295)
('avg_training_acc', 0.5683098591549298)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.26it/s]
('avg_loss', 0.01644778383585314)
('max_acc', 0.8166666666666665)
('avg_acc', 0.4000000000000001)
('epoch', 72)
100%|█████████████████████████████████████████| 142/142 [01:13<00:00,  1.95it/s]
('avg_training_loss', 0.004860218920954831)
('max_training_acc', 0.8186619718309858)
('avg_training_acc', 0.5728873239436622)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.29it/s]
('avg_loss', 0.017431501182727516)
('max_acc', 0.8166666666666665)
('avg_acc', 0.4250000000000001)
('epoch', 73)
100%|█████████████████████████████████████████| 142/142 [01:15<00:00,  1.89it/s]
('avg_training_loss', 0.004434964970462549)
('max_training_acc', 0.8186619718309861)
('avg_training_acc', 0.5718309859154929)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.11it/s]
('avg_loss', 0.017417928281550605)
('max_acc', 0.8166666666666665)
('avg_acc', 0.43333333333333335)
('epoch', 74)
100%|█████████████████████████████████████████| 142/142 [01:18<00:00,  1.82it/s]
('avg_training_loss', 0.004351789880261927)
('max_training_acc', 0.8183098591549296)
('avg_training_acc', 0.5806338028169017)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.19it/s]
('avg_loss', 0.017120108551656205)
('max_acc', 0.8166666666666665)
('avg_acc', 0.40416666666666673)
('epoch', 75)
100%|█████████████████████████████████████████| 142/142 [01:14<00:00,  1.91it/s]
('avg_training_loss', 0.004244760910219605)
('max_training_acc', 0.8186619718309858)
('avg_training_acc', 0.5936619718309856)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.32it/s]
('avg_loss', 0.01742257464987536)
('max_acc', 0.8166666666666665)
('avg_acc', 0.4083333333333334)
('epoch', 76)
100%|█████████████████████████████████████████| 142/142 [01:15<00:00,  1.88it/s]
('avg_training_loss', 0.004207126498648661)
('max_training_acc', 0.8186619718309861)
('avg_training_acc', 0.5904929577464789)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.30it/s]
('avg_loss', 0.018351834965869784)
('max_acc', 0.8166666666666665)
('avg_acc', 0.4124999999999999)
('epoch', 77)
100%|█████████████████████████████████████████| 142/142 [01:12<00:00,  1.96it/s]
('avg_training_loss', 0.00421229890108266)
('max_training_acc', 0.8193661971830989)
('avg_training_acc', 0.5841549295774647)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.38it/s]
('avg_loss', 0.01756325802610566)
('max_acc', 0.8166666666666665)
('avg_acc', 0.3958333333333334)
('epoch', 78)
100%|█████████████████████████████████████████| 142/142 [01:16<00:00,  1.86it/s]
('avg_training_loss', 0.004530635318049873)
('max_training_acc', 0.8190140845070419)
('avg_training_acc', 0.5866197183098593)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.43it/s]
('avg_loss', 0.01772496709600091)
('max_acc', 0.8166666666666665)
('avg_acc', 0.42083333333333334)
('epoch', 79)
100%|█████████████████████████████████████████| 142/142 [01:13<00:00,  1.92it/s]
('avg_training_loss', 0.0042022485376178274)
('max_training_acc', 0.8186619718309858)
('avg_training_acc', 0.6010563380281689)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.37it/s]
('avg_loss', 0.018100172863341868)
('max_acc', 0.8166666666666665)
('avg_acc', 0.41666666666666674)
('epoch', 80)
100%|█████████████████████████████████████████| 142/142 [01:15<00:00,  1.87it/s]
('avg_training_loss', 0.004149620845080943)
('max_training_acc', 0.8190140845070424)
('avg_training_acc', 0.601056338028169)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.25it/s]
('avg_loss', 0.017448769028608997)
('max_acc', 0.8166666666666665)
('avg_acc', 0.425)
('epoch', 81)
100%|█████████████████████████████████████████| 142/142 [01:12<00:00,  1.96it/s]
('avg_training_loss', 0.0040038573444151964)
('max_training_acc', 0.8183098591549295)
('avg_training_acc', 0.5933098591549297)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.30it/s]
('avg_loss', 0.018422584476259846)
('max_acc', 0.8166666666666665)
('avg_acc', 0.40833333333333327)
('epoch', 82)
100%|█████████████████████████████████████████| 142/142 [01:13<00:00,  1.93it/s]
('avg_training_loss', 0.003948386076470496)
('max_training_acc', 0.8190140845070414)
('avg_training_acc', 0.5985915492957744)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.55it/s]
('avg_loss', 0.02048984441595773)
('max_acc', 0.8166666666666665)
('avg_acc', 0.4041666666666666)
('epoch', 83)
100%|█████████████████████████████████████████| 142/142 [01:15<00:00,  1.88it/s]
('avg_training_loss', 0.003918855910969924)
('max_training_acc', 0.8186619718309855)
('avg_training_acc', 0.6045774647887328)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.17it/s]
('avg_loss', 0.019141746878934402)
('max_acc', 0.8166666666666665)
('avg_acc', 0.41666666666666674)
('epoch', 84)
100%|█████████████████████████████████████████| 142/142 [01:15<00:00,  1.89it/s]
('avg_training_loss', 0.0039241664008316125)
('max_training_acc', 0.8190140845070423)
('avg_training_acc', 0.6088028169014085)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.25it/s]
('avg_loss', 0.018868661058756214)
('max_acc', 0.8166666666666665)
('avg_acc', 0.425)
('epoch', 85)
100%|█████████████████████████████████████████| 142/142 [01:14<00:00,  1.90it/s]
('avg_training_loss', 0.0038774239160054903)
('max_training_acc', 0.8193661971830982)
('avg_training_acc', 0.6119718309859153)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.34it/s]
('avg_loss', 0.018889739993028343)
('max_acc', 0.8166666666666665)
('avg_acc', 0.43333333333333335)
('epoch', 86)
100%|█████████████████████████████████████████| 142/142 [01:14<00:00,  1.92it/s]
('avg_training_loss', 0.003947951048809353)
('max_training_acc', 0.8183098591549293)
('avg_training_acc', 0.6080985915492957)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.13it/s]
('avg_loss', 0.01677572901826352)
('max_acc', 0.8166666666666665)
('avg_acc', 0.44166666666666665)
('saving model to', 'repro/webqsp/best_model_hybrid_05')
('epoch', 87)
100%|█████████████████████████████████████████| 142/142 [01:14<00:00,  1.91it/s]
('avg_training_loss', 0.003939336697033173)
('max_training_acc', 0.819366197183098)
('avg_training_acc', 0.6063380281690142)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.53it/s]
('avg_loss', 0.019668402732349932)
('max_acc', 0.8166666666666665)
('avg_acc', 0.41666666666666674)
('epoch', 88)
100%|█████████████████████████████████████████| 142/142 [01:16<00:00,  1.86it/s]
('avg_training_loss', 0.003812071117966003)
('max_training_acc', 0.8190140845070423)
('avg_training_acc', 0.6186619718309863)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.19it/s]
('avg_loss', 0.020597013256823022)
('max_acc', 0.8166666666666665)
('avg_acc', 0.43333333333333335)
('epoch', 89)
100%|█████████████████████████████████████████| 142/142 [01:14<00:00,  1.90it/s]
('avg_training_loss', 0.003840328758241425)
('max_training_acc', 0.819014084507042)
('avg_training_acc', 0.6193661971830988)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.20it/s]
('avg_loss', 0.018862725313132007)
('max_acc', 0.8166666666666665)
('avg_acc', 0.41666666666666674)
('epoch', 90)
100%|█████████████████████████████████████████| 142/142 [01:15<00:00,  1.89it/s]
('avg_training_loss', 0.0037055291132148827)
('max_training_acc', 0.8193661971830984)
('avg_training_acc', 0.6228873239436618)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.40it/s]
('avg_loss', 0.018709459419672687)
('max_acc', 0.8166666666666665)
('avg_acc', 0.40833333333333327)
('epoch', 91)
100%|█████████████████████████████████████████| 142/142 [01:12<00:00,  1.95it/s]
('avg_training_loss', 0.0037595871598197434)
('max_training_acc', 0.8183098591549292)
('avg_training_acc', 0.6197183098591548)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:05<00:00,  2.03it/s]
('avg_loss', 0.017961680190637708)
('max_acc', 0.8166666666666665)
('avg_acc', 0.40416666666666673)
('epoch', 92)
100%|█████████████████████████████████████████| 142/142 [01:14<00:00,  1.92it/s]
('avg_training_loss', 0.003740379324471447)
('max_training_acc', 0.8186619718309858)
('avg_training_acc', 0.6151408450704225)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  5.94it/s]
('avg_loss', 0.019557999912649393)
('max_acc', 0.8166666666666665)
('avg_acc', 0.4333333333333333)
('epoch', 93)
100%|█████████████████████████████████████████| 142/142 [01:16<00:00,  1.85it/s]
('avg_training_loss', 0.0037214116047425065)
('max_training_acc', 0.8183098591549296)
('avg_training_acc', 0.626408450704225)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.36it/s]
('avg_loss', 0.017114731017500162)
('max_acc', 0.8166666666666665)
('avg_acc', 0.4333333333333333)
('epoch', 94)
100%|█████████████████████████████████████████| 142/142 [01:15<00:00,  1.87it/s]
('avg_training_loss', 0.0037820053427860562)
('max_training_acc', 0.8186619718309859)
('avg_training_acc', 0.6176056338028166)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.35it/s]
('avg_loss', 0.019873859942890704)
('max_acc', 0.8166666666666665)
('avg_acc', 0.42916666666666664)
('epoch', 95)
100%|█████████████████████████████████████████| 142/142 [01:15<00:00,  1.88it/s]
('avg_training_loss', 0.003975481209738678)
('max_training_acc', 0.8186619718309855)
('avg_training_acc', 0.6119718309859156)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.11it/s]
('avg_loss', 0.018972312992749114)
('max_acc', 0.8166666666666665)
('avg_acc', 0.4166666666666667)
('epoch', 96)
100%|█████████████████████████████████████████| 142/142 [01:14<00:00,  1.92it/s]
('avg_training_loss', 0.004679944571993038)
('max_training_acc', 0.8186619718309857)
('avg_training_acc', 0.6123239436619717)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.36it/s]
('avg_loss', 0.017649559730974335)
('max_acc', 0.8166666666666665)
('avg_acc', 0.4166666666666666)
('epoch', 97)
100%|█████████████████████████████████████████| 142/142 [01:14<00:00,  1.91it/s]
('avg_training_loss', 0.003971312350829617)
('max_training_acc', 0.8190140845070417)
('avg_training_acc', 0.6221830985915494)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.40it/s]
('avg_loss', 0.01900159369688481)
('max_acc', 0.8166666666666665)
('avg_acc', 0.4249999999999999)
('epoch', 98)
100%|█████████████████████████████████████████| 142/142 [01:12<00:00,  1.95it/s]
('avg_training_loss', 0.004495149507830051)
('max_training_acc', 0.8193661971830981)
('avg_training_acc', 0.6102112676056336)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.21it/s]
('avg_loss', 0.02149878058116883)
('max_acc', 0.8166666666666665)
('avg_acc', 0.4333333333333333)
('epoch', 99)
100%|█████████████████████████████████████████| 142/142 [01:14<00:00,  1.91it/s]
('avg_training_loss', 0.004021950953961416)
('max_training_acc', 0.8186619718309858)
('avg_training_acc', 0.6281690140845073)
validating ...
100%|███████████████████████████████████████████| 12/12 [00:02<00:00,  4.29it/s]
('avg_loss', 0.020643989904783666)
('max_acc', 0.8166666666666665)
('avg_acc', 0.41250000000000003)
evaluating on test
('loading model from ...', 'repro/webqsp/best_model_hybrid_05')
100%|███████████████████████████████████████████| 81/81 [00:23<00:00,  3.38it/s]
('avg_loss', 0.018487060229857393)
('max_acc', 0.8469135802469132)
('avg_acc', 0.47777777777777775)

- cudatoolkit=8.0=3
